,Soil type,Vegetation,LONG,LAT,R,T,Moisture,AP,pH,FA,HA,HA_FA_rate,TN,TDN,OC,DOC,C_N_rate,AK,Clay,Silt,Sand,Fed,Ald,Feo,Alo,Feo_Fed_rate
S001,Phaeozem,temperate mixed coniferous-broadleaf forest,126.1247417,48.650925,506.2,0.5,6.52,35.40595204,7.196666667,21.60663202,16.56017965,0.766439658,3.751768159,31.54697694,4.307526216,628.9148206,11.48132303,967.9717928,2.194360296,45.87465731,51.93098239,1.91972676,2.537122272,4.452554216,4.953493549,231.9368729
S003,Phaeozem,temperate mixed coniferous-broadleaf forest,128.9026028,47.72203333,630,1,8.98,23.46645149,5.95,12.4691577,12.11304098,0.971440194,3.235552203,25.96685508,5.548931928,240.8717536,17.14987606,67.49490428,20.58783646,59.73238539,19.67977815,4.984603865,6.587682033,5.376551016,5.189189015,107.8631555
S004,Phaeozem,temperate mixed coniferous-broadleaf forest,130.2527167,47.33975278,640,3.43,4.13,12.08518198,6.88,28.18860414,27.63154753,0.980238234,0.789755063,18.77299893,0.723841784,432.2214338,9.165395934,59.66056025,6.389336738,20.47168955,73.13897371,2.046386223,2.70451617,2.030722803,1.896726863,99.23458144
S005,Phaeozem,temperate mixed coniferous-broadleaf forest,124.0023111,47.25391389,415,4,2.26,27.84913403,8.443333333,18.40494401,34.28752,1.862951606,0.85835844,16.35337297,0.927045827,158.4983375,10.80021799,85.22385838,14.24883094,13.29412598,72.45704308,0.974242085,1.287564118,1.102733078,1.063380596,113.1888157
S006,Phaeozem,temperate mixed coniferous-broadleaf forest,130.3672472,46.76163611,516.5,3.62,12.86,9.446841239,6.09,11.1630995,57.21234641,5.125130921,1.788566489,50.51227092,2.230131734,198.5476968,12.46882208,100.5260185,14.36328327,53.9265269,31.71018983,2.631598054,3.353860873,4.407419804,2.752834835,167.4807366
S007,Phaeozem,temperate mixed coniferous-broadleaf forest,124.8196556,46.01903889,427.5,4.2,5.32,45.18647767,8.62,6.577120654,40.0204551,6.084798683,1.813969691,17.15498861,1.732389331,476.1900382,9.550266135,106.7495262,29.77004468,42.97421479,27.25574053,6.554609619,1.821389648,0.997652416,2.238951878,15.22062295
S010,Phaeozem,temperate mixed coniferous-broadleaf forest,129.5897667,44.60595278,546.5,4.5,7.14,15.91421006,6.45,8.411120765,22.8950204,2.721994018,2.077788179,35.31838929,3.095283248,458.0399992,14.89701057,100.8449203,6.025477542,35.03930417,58.93521829,1.881269969,2.48629755,1.588302372,2.037587116,84.42713689
S011,Dark-brown soil,temperate mixed coniferous-broadleaf forest,126.0660333,44.52816667,520.3,4.4,6.68,17.10875289,7.23,23.56841667,30.64344303,1.300190991,1.978174354,26.91127114,1.633554478,254.4390482,8.257889277,510.1296577,26.6017789,57.2329789,16.1652422,2.90557019,3.840018797,1.714969756,2.151118488,59.02351841
S013,Dark-brown soil,temperate mixed coniferous-broadleaf forest,123.8309667,44.2441,470,4.9,3.15,9.117550944,9.036666667,18.78162297,16.88452577,0.898991839,2.424605788,28.21049489,1.383378041,128.9715655,5.705579225,112.6772149,17.06092201,34.91666068,48.02241731,1.0824358,1.423862175,0.990112366,1.215219287,91.47077046
S015,Dark-brown soil,temperate mixed coniferous-broadleaf forest,126.0384,44.10463333,573.2,4.7,4.08,20.15239262,6.2,24.75895535,29.27471846,1.182389081,3.194250746,33.10856588,2.677598584,315.2551292,8.382556026,103.9424507,12.07954117,63.65167462,24.26878421,1.884936729,2.491143561,5.783306475,1.486974908,306.817008
S016,Dark-brown soil,temperate mixed coniferous-broadleaf forest,125.1389,43.54666667,630,4.7,3.34,13.46427644,6.323333333,23.54284422,35.79045031,1.520226273,2.375871171,107.0947515,2.329686642,200.7681279,9.805610129,117.6168104,13.64438666,62.63468899,23.72092435,2.381436096,3.147320069,3.592115864,2.234780186,150.8382219
S017,Dark-brown soil,temperate mixed coniferous-broadleaf forest,128.3475167,43.28418333,631.8,2.9,4.7,50.53139073,5.666666667,13.39419065,68.49870308,5.114060629,4.290140834,195.3977995,5.085193067,155.5548317,11.85320777,196.8175551,12.90472133,44.63338923,42.46188945,15.78033214,4.934792205,9.409903355,4.741684412,59.63057857
S018,Dark-brown soil,temperate mixed coniferous-broadleaf forest,125.9139333,43.21155,699.6,4.6,5.9,20.38288699,6.206666667,16.76861475,36.02137944,2.148142824,4.338209458,64.56337471,3.959573323,213.5740739,9.127206421,118.4936684,17.09485498,63.34243246,19.56271256,3.066178565,3.822960631,4.367884761,2.675751008,142.4536983
S019,Dark-brown soil,temperate mixed coniferous-broadleaf forest,125.5090333,42.1828,680,4.6,4.83,52.75222327,5.913333333,29.28929122,37.92360334,1.294794164,6.243646931,202.9730978,4.868426498,681.7566283,7.797408392,405.404049,10.33966622,41.79322506,47.86710872,2.679965911,3.541858844,3.081951102,3.145329464,114.9996382
S022,Brown soil,temperate deciduous broad-leaved forest,123.38,41.8,500,8.3,4.240198485,19.58396555,7.596666667,11.06645466,15.59941587,1.409612776,3.670031766,46.11834999,6.240809606,291.0458688,17.00478362,232.9881567,3.598779992,55.87949175,40.52172826,2.11102733,2.789946241,4.547592378,3.725086567,215.4208197
S025,Brown soil,temperate deciduous broad-leaved forest,122.13,40.39,547,10.1,3.178481892,23.10540355,5.52,34.14100051,16.24081832,0.475698371,1.245842289,26.8316336,1.226525971,195.6181775,9.844953745,293.2869395,13.61651724,71.29973731,15.08374545,2.256350937,2.982006782,3.104951592,3.10807701,137.6094268
S026,Brown soil,temperate deciduous broad-leaved forest,121.46,39.02,750,10.5,1.473082609,7.635696849,5.816666667,19.53615304,19.5956149,1.003043683,1.234873688,18.56659046,1.6777959,176.4580835,13.58678152,113.8118671,5.690549882,26.53064879,67.77880133,11.11788949,3.356234844,1.880467894,3.77927442,16.91389266
S027,Brown soil,temperate deciduous broad-leaved forest,120.766333,37.7789,628,12.5,7.34,2.573266538,7.576666667,19.73333008,9.283317642,0.470438472,1.467008371,34.72204965,1.33910941,105.075523,9.128164755,135.0819737,17.66082669,53.86716963,28.47200367,22.08525845,2.781069183,5.35276148,2.538024833,24.23680706
S028,Cinnamon soil,temperate deciduous broad-leaved forest,122.12027,37.489,730,12,4.012779262,25.54883629,5.816666667,36.84065055,17.94060397,0.486978479,0.518655645,17.25716661,0.353798473,19.6767932,6.821452273,41.48751703,4.644889005,23.3646021,71.99050889,13.55016583,2.377749603,2.810868307,1.466048172,20.74416167
S030,Cinnamon soil,temperate deciduous broad-leaved forest,120.3755167,36.399233,750,12,6.363662798,11.21670374,5.196666667,30.81718597,14.18273553,0.460221629,1.000328154,28.4823892,0.906245918,29.55053275,9.059486277,95.60780495,9.772970454,44.4029771,45.82405244,10.96323552,3.026838802,2.454886612,2.207405534,22.3919901
S031,Cinnamon soil,temperate deciduous broad-leaved forest,117.077,36.2069,700,12.9,2.32,3.964329406,5.41,25.49219604,12.81520543,0.502710924,1.601664564,18.09132522,1.589263973,83.36982051,9.922576854,76.66600242,3.485676356,35.2470867,61.26723694,13.73155426,2.268984671,1.471507389,1.220794134,10.71624786
S032,Cinnamon soil,temperate deciduous broad-leaved forest,117.083115,36.20002,800,11.2,2.404998233,1.64613642,7,15.76703713,5.489264776,0.348148148,0.556669704,2.833333333,0.797497335,22.07333333,14.32622126,52.1855871,13.51745977,32.15516945,54.32737079,29.949644,2.191772819,2.310264019,2.416458296,7.713827981
S033,Cinnamon soil,temperate deciduous broad-leaved forest,120.131105,35.9731,750,12,4.200612903,7.766964705,5.603333333,35.0118174,16.857164,0.481470693,0.928793917,13.01429979,0.539976021,49.60443381,5.81373339,113.4488839,8.618176899,46.95005805,44.43176506,19.1561394,3.246068633,6.064733845,1.812952417,31.65947855
S034,Cinnamon soil,temperate deciduous broad-leaved forest,117.729,34.983358,820,14,7.600315331,3.164457591,8.203333333,14.44898192,5.676254262,0.392848042,1.523208046,16.52272721,1.985606139,63.95171216,13.03568573,227.6229987,35.17007407,31.05281306,33.77711286,44.94915017,6.684512907,2.667822402,3.455902301,5.935200981
S035,Cinnamon soil,temperate deciduous broad-leaved forest,117.5906,34.775833,811.6,14.5,4.34,3.533519098,7.613333333,15.26309233,11.56069053,0.757427805,2.413444816,19.09127309,3.028190566,113.017054,12.54717136,139.8206313,10.70088179,35.48528471,53.8138335,25.90273628,4.22604777,1.952531626,2.624284803,7.53793578
S037,Yellow-cinnamon soil  ,subtropical broad-leaved evergreen forest,119.780961,32.755555,1136,15,2.540840057,13.01305569,4.9,7.664768472,51.84723989,6.764358255,1.243700149,2.942222222,1.156778554,29.40666667,9.301104895,53.71774032,23.51255642,72.73633857,3.751105011,22.86380403,4.537881498,2.978696107,2.848369541,13.02799877
S038,Yellow-cinnamon soil  ,subtropical broad-leaved evergreen forest,118.824,32.53060505,1000,18,3.502591683,1.7892,7.385,21.09133539,3.352072629,0.158931266,1.632752158,10.05,1.517393727,30.63666667,9.293472498,106.508345,35.69190061,63.75027335,0.557826037,22.45536685,3.152246919,2.462035673,2.747156097,10.96413027
S039,Yellow-cinnamon soil  ,subtropical broad-leaved evergreen forest,118.849008,32.056085,1200,15.4,3.900584193,4.0114,6.08,5.610717455,14.42111627,2.57028025,1.299519004,3.696666667,1.36732365,26.85333333,10.52176726,67.66525546,20.57231567,70.02899375,9.398690584,9.385731289,1.287832753,1.029701732,0.961491127,10.97092704
S040,Yellow-cinnamon soil  ,subtropical broad-leaved evergreen forest,117.38471,32.916282,1040,15,1.888437948,7.244361414,7.23,8.880273833,25.26733177,2.845332503,1.382081989,5.906666667,1.536448839,40.54333333,11.11691529,182.2274713,16.50592695,40.75537518,42.73869787,32.63973197,3.19643474,1.036429659,1.638882539,3.17536204
S042,Yellow-cinnamon soil  ,subtropical broad-leaved evergreen forest,116.8271824,32.6296694,970,15,2.788433328,2.057474345,4.515,25.08217857,12.75281914,0.508441446,0.736919696,2.683333333,0.702769557,22.52333333,9.53658262,69.59804821,39.67633526,59.41171446,0.911950272,30.28658811,6.610305398,2.45435718,3.697190153,8.103775741
S043,Yellow-brown soil ,subtropical broad-leaved evergreen forest,117.339292,31.779591,1000,15.7,2.576647356,2.634718632,4.945,27.38305425,10.7788331,0.393631514,0.983766457,8.253333333,1.408540352,46.52333333,14.31783268,109.7570127,13.54011745,40.00489247,46.45499008,30.46694587,4.609800522,4.313120387,2.700843872,14.15672055
S044,Yellow-brown soil ,subtropical broad-leaved evergreen forest,117.871659,31.620599,1118.5,15.9,1.442251084,1.714902191,6.615,18.03813571,11.27191586,0.624893617,1.155620988,7.17,1.599784055,39.17,13.84350121,114.5790226,12.37595463,29.41825281,58.20579255,23.50079576,3.716244037,0.938130626,3.37348017,3.991910042
S046,Yellow-brown soil ,subtropical broad-leaved evergreen forest,116.189665,30.996615,1425,12.5,2.346636283,3.398626833,5.005,22.46987123,20.85738816,0.928237992,0.641496367,3.196666667,0.93732065,29.86333333,14.61147245,100.5095142,17.39892817,23.1303398,59.47073203,14.51758793,3.73998424,1.487952836,3.603099959,10.24931168
S047,Yellow-brown soil ,subtropical broad-leaved evergreen forest,118.32926,30.91493,1402.6,15.8,3.042234741,2.715692542,4.63,39.81678954,12.57130742,0.315728806,0.733829665,2.653333333,0.629145507,12.68,8.573454266,54.48358162,24.52405187,73.77824007,1.697708057,33.00347682,6.526207013,1.339715969,3.228978308,4.059317678
S048,Yellow-brown soil ,subtropical broad-leaved evergreen forest,117.05173,30.524961,980,15.4,5.391093089,1.097170808,4.615,20.64718818,12.92100178,0.625799585,0.807959272,2.246666667,0.465990003,6.246666667,5.767493717,84.38137868,75.46002265,23.18604048,1.353936869,46.88710582,7.337909615,2.201098021,5.500830022,4.694463398
S049,Yellow-brown soil ,subtropical broad-leaved evergreen forest,112.289848,30.904984,949.4,16.1,5.075082115,0.586717764,5.74,28.25866743,11.85402783,0.419482902,0.865654454,2.24,0.928342623,25.13,10.72417081,103.3360895,28.58042234,59.89279681,11.52678086,43.41069326,7.789652645,1.827089194,2.660954692,4.208845924
S050,Yellow-brown soil ,subtropical broad-leaved evergreen forest,111.6692006,30.703906,992,16.4,2.893664264,3.468555012,4.825,21.28597966,12.80283327,0.60146789,1.092075847,7.05,1.426283601,59.26666667,13.06029801,134.6878065,13.17038903,39.71695441,47.11265657,14.10899845,3.064734494,2.007519371,1.734366778,14.22864549
S051,Yellow soill,subtropical broad-leaved evergreen forest,111.593821,30.640037,1366.2,16.5,4.927574734,0.99961087,5.41,23.75750894,9.376731182,0.394684948,0.935507335,3.853333333,1.216287961,50.80666667,13.00137279,246.5273368,30.63885182,53.09335282,16.26779536,22.87934765,3.886962067,0.601199258,1.696001752,2.627694055
S052,Yellow soill,subtropical broad-leaved evergreen forest,115.436513,30.596241,1300,16.9,0.85,3.704726442,5.22,43.69410204,0.586763687,0.013428899,0.231152157,1.303333333,0.223525523,11.71333333,9.670060001,17.6948567,6.454664172,9.076871493,84.46846433,7.77131243,1.760532392,0.170094345,1.869365259,2.188746708
S053,Yellow soill,subtropical broad-leaved evergreen forest,115.630799,30.589983,1403,16.4,1.30555342,3.55565019,5.5,25.17157734,13.63400716,0.54164294,0.4618368,3.183333333,0.529807817,29.22,11.47175404,58.96996265,7.293999846,15.60105523,77.10494493,8.915552774,1.96337429,0.654762538,1.185205679,7.344048705
S054,Yellow soill,subtropical broad-leaved evergreen forest,114.361343,30.478389,1204.5,16.3,5.446374252,0.853019829,5.56,26.61048537,19.15148817,0.719697063,1.05127343,2.286666667,0.893390665,30.72333333,8.498176018,74.86692572,31.63391228,62.00246806,6.363619664,37.061067,6.156770742,2.749313561,2.536451752,7.418333533
S055,Yellow soill,subtropical broad-leaved evergreen forest,113.205676,29.54906,1204.5,16.3,3.339230148,2.487105419,5.105,22.54261523,14.43612075,0.640392457,0.982423342,5.676666667,0.998848685,24.42,10.16719211,105.4060148,29.34834136,55.80318428,14.84847436,32.58037247,6.046746469,3.072080899,2.930419578,9.429238115
S058,Yellow soill,subtropical broad-leaved evergreen forest,120.930012,28.886399,1550,17,1.718977373,3.664569878,4.535,7.59801822,2.665188303,0.350774139,0.756880071,2.946666667,3.605870411,22.07666667,47.64123868,52.47173448,19.73348161,59.40388279,20.8626356,26.26834016,6.683836129,1.967438699,2.75346433,7.489771668
S059,Yellow soill,subtropical broad-leaved evergreen forest,118.50132,28.765433,1650,17.1,1.978591368,2.300960997,4.605,23.73760618,9.465363846,0.398749721,1.515231258,4.296666667,1.605046185,47.68,10.59274732,106.8735638,18.56010363,50.7853385,30.65455787,42.05738476,8.922322603,3.255236265,3.486191585,7.739987361
S060,Yellow soill,subtropical broad-leaved evergreen forest,120.3,27.6514,1800,18,2.1121859,0.931931135,4.335,27.736358,5.827293001,0.210095824,0.591283379,4.15,0.456957625,11.18333333,7.728233907,43.48447437,14.4999304,37.37306004,48.12700956,14.39213103,4.75886054,1.423126351,3.461053206,9.888225364
S061,Yellow soill,subtropical broad-leaved evergreen forest,120.2933,27.643,1640,18,2.634119066,1.505879439,4.68,37.68641231,1.787384673,0.047427828,1.339289621,7.056666667,1.372404383,37.24333333,10.24725617,77.74534519,35.10086872,43.10633001,21.79280127,36.38523177,8.269589602,2.844241838,3.831719207,7.81702273
S062,Yellow soill,subtropical broad-leaved evergreen forest,120.5349,27.6262,1640,17.8,1.995547437,1.644202758,4.405,20.83402377,14.88436748,0.714425962,1.088817858,3.676666667,1.438926296,60.54,13.21549132,65.61373567,21.62305606,24.47893138,53.89801256,16.05023296,3.120057021,1.272003194,2.322848093,7.925138515
S063,Yellow soill,subtropical broad-leaved evergreen forest,116.8742778,29.3985,1608,17.3,8.24,0.561613298,4.53,29.63748772,11.53431393,0.38917988,1.450949723,20.95539369,1.382908481,131.8907002,9.531057205,58.79102275,32.34680449,49.52641019,18.12678532,54.90990287,8.35514283,1.617604268,2.596647081,2.945924475
S064,Red soil,subtropical broad-leaved evergreen forest,115.8927222,29.38875,1450,16.5,5.47,6.036998323,5.766666667,21.27749738,18.83133606,0.88503529,0.438127524,7.915806604,0.511116608,28.8485743,11.6659324,56.5168827,24.52555566,66.11528053,9.359163816,24.99680167,4.579197797,4.245358156,2.916574001,16.98360539
S065,Red soil,subtropical broad-leaved evergreen forest,116.9176389,28.39733333,1840,18,1.68,0.825503811,4.34,29.68444646,2.562206148,0.086314769,0.431740437,7.507045389,0.573438941,45.49920006,13.28202994,23.20871587,24.55086526,29.28239039,46.16674434,48.52232281,5.828626845,0.557821457,1.680390916,1.149618206
S066,Red soil,subtropical broad-leaved evergreen forest,116.2926667,28.38758333,1587,17.5,5.35,0.07609407,4.563333333,21.69884348,8.977372149,0.413725835,0.94866477,9.223917165,0.986160918,56.01132835,10.39525182,40.58702513,42.8833611,42.23963373,14.87700516,46.41688264,11.07745685,2.05240351,4.296277739,4.4216746
S068,Red soil,subtropical broad-leaved evergreen forest,116.0741389,27.38419444,1773.6,17.6,2.73,0.00715108,4.566666667,34.80876286,2.098839371,0.060296293,0.848789601,11.88713293,0.92758077,74.36818706,10.92827679,58.43507987,30.13168667,33.76242568,36.10588765,36.09967423,8.488157292,1.025368117,3.113869759,2.840380527
S069,Red soil,subtropical broad-leaved evergreen forest,115.3204444,26.38794444,1515.6,18.8,8.3,0.995961264,4.643333333,26.17107928,2.638106978,0.100802376,0.625667089,2.137456607,0.625017008,32.81160558,9.989609784,79.11688864,28.94226112,34.69180868,36.3659302,49.11894818,3.455074668,0.670015847,2.460329406,1.364067986
S070,Red soil,subtropical broad-leaved evergreen forest,114.9126111,25.39852778,1500,19.2,1.64,0.951159521,4.663333333,16.6891029,15.88048622,0.951548224,0.514753964,7.047890415,0.699631152,64.14118366,13.59156413,40.32493491,12.68616151,29.00680595,58.30703254,31.70303936,3.94178254,0.760638762,1.675143857,2.399261324
S071,Red soil,subtropical broad-leaved evergreen forest,115.0654722,25.39505556,1438.3,19.4,8.29,0.144019529,4.973333333,16.43496793,8.433069479,0.513117489,0.44632779,5.325308559,0.250337577,21.54180387,5.608827922,59.41451418,20.19250718,32.42574926,47.38174356,32.4926521,6.635747412,0.648485011,1.488377804,1.995789722
S072,Red soil,subtropical broad-leaved evergreen forest,114.9935556,24.38519444,1550,18.9,6.26,0.618330124,4.75,19.67027946,12.256621,0.623103552,0.829569949,9.965210462,1.266970472,102.6388723,15.27261775,49.07245139,17.55990492,23.75324009,58.68685499,55.17705831,9.346201519,0.94826768,2.639432904,1.718590496
S073,Red soil,subtropical broad-leaved evergreen forest,111.14598,27.259363,1293.2,16.9,3.989861422,0.773273806,4.3,16.84839559,15.8200877,0.938967014,1.043617337,1.83,0.539951298,8.026666667,5.173843692,56.37810337,50.53907265,45.5475593,3.913368046,54.02678743,11.80092495,1.85011878,3.941693078,3.424447146
S074,Red soil,subtropical broad-leaved evergreen forest,110.324263,26.744125,1325,16.7,2.8706577,3.824756756,4.51,25.2965334,24.5362,0.969943178,0.724738726,3.996666667,0.556507919,16.39,7.678738548,109.7629918,22.01432075,16.45930523,61.52637402,16.3598679,4.765781647,1.177009281,3.299775648,7.19449135
S075,Red soil,subtropical broad-leaved evergreen forest,112.898727,25.734948,1670,15.4,2.227694779,3.363004539,4.005,23.61493025,14.33194371,0.606901801,1.313424462,4.63,1.232179687,29.39,9.381427884,48.9006178,56.02077674,36.39305934,7.58616392,71.14917572,11.05029037,1.532763344,3.024873531,2.154295294
S078,Red soil,subtropical broad-leaved evergreen forest,119.083459,25.491593,1500,20.9,2.270551321,4.429274217,4.235,30.23515315,24.27833438,0.802983675,0.962334907,1.705,1.368368072,9.035,14.21925009,72.56606969,28.02198,59.72568,12.25234,19.14888783,5.264561914,1.445850209,3.854173546,7.550570152
S079,Red soil,subtropical broad-leaved evergreen forest,119.1113476,25.4587286,1500,20.9,3.574542609,0.975568268,4.345,65.39126066,7.818793573,0.119569396,0.487353543,1.905,0.439627033,3.56,9.020700472,103.491683,18.02197041,39.56547528,42.41255431,27.10677746,6.442829355,0.538505417,3.085903743,1.986608027
S081,Red soil,subtropical broad-leaved evergreen forest,108.26,24.87,1569.5,18.8,2.925266758,1.119108946,4.003333333,33.11803968,17.25899142,0.521135658,1.213603597,18.15178039,2.074679348,218.8375151,17.09519775,32.56696418,21.27075954,53.86133291,24.86790755,26.71214533,7.649597998,4.027233566,4.213778677,15.0764138
S083,Latosolic red soil,subtropical broad-leaved evergreen forest,109.15,24.31,1643,19.4,7.516176333,1.748043075,4.123333333,38.733974,16.26062822,0.419802735,1.195130268,34.61114053,1.378334117,109.3138351,11.53291949,60.16015528,14.25481667,20.45046278,65.29472055,17.88106589,5.659098941,0.662065712,2.190780463,3.702607641
S084,Latosolic red soil,subtropical broad-leaved evergreen forest,108.35,22.99,1300,21.7,3.048803022,1.766039907,4.453333333,38.84934758,5.461103307,0.1405713,1.258682466,18.91479359,1.792737652,138.1069955,14.24296994,61.92445855,31.74288808,31.8052524,36.45185951,31.71593441,8.288311575,3.621970873,3.970468748,11.4200352
S085,Latosolic red soil,subtropical broad-leaved evergreen forest,108.53,22.94,1304.2,21.8,5.3,0.12475253,4.503333333,38.10631347,5.867833739,0.153985868,0.830110792,10.54301336,1.118748789,60.4956665,13.4771021,34.05402411,28.92410872,27.06470173,44.01118955,48.96957769,11.19056792,2.176353622,2.877648039,4.444297306
S086,Latosolic red soil,tropical seasonal forest,108.65,22.01,1600,22,4.215798919,0.800241615,4.373333333,35.93380958,9.201989852,0.256081667,0.972767905,13.85815137,1.58497784,129.5239159,16.2934841,41.77644204,41.69309513,31.26599607,27.0409088,31.61293689,7.078976476,1.759124901,3.698787374,5.564572843
S087,Latosolic red soil,tropical seasonal forest,108.77,21.88,2113.7,22,3.699624783,0.332782399,4.313333333,40.44155098,4.675862541,0.115620258,0.83800683,11.40505351,0.958602087,111.9946016,11.43907249,47.17166458,28.21360382,42.24380848,29.5425877,22.70852358,6.085143712,2.241669413,4.318520533,9.871489025
S088,Latosolic red soil,tropical seasonal forest,108.97,21.8,1663,22.4,3.446889136,1.762629287,4.36,30.9208006,9.263568015,0.299590173,1.293993119,18.76734321,1.832390768,153.5852768,14.16074584,44.4857252,35.72663367,44.54699329,19.72637304,31.76984126,8.075122306,3.293321871,3.791223796,10.36618925
S089,Latosolic red soil,tropical seasonal forest,109.27,21.51,1670,22.9,2.296573325,3.114842829,4.84,38.7606941,6.949826105,0.179300868,2.38096669,31.82995523,2.404353372,225.5644643,10.09822347,42.17504471,22.71269227,9.613868885,67.67343884,28.36662172,12.47211021,1.397809536,4.044313025,4.927655996
S090,Latosolic red soil,tropical seasonal forest,111.9,21.86666667,2442.7,22.9,4.219349946,0.540586159,6.123333333,10.42635144,11.70273196,1.122418712,0.214807879,2.029954431,0.276508224,18.34473994,12.87235018,59.8996595,5.567613133,23.45249568,70.97989119,41.06734841,6.669117497,0.652822059,1.260969508,1.589637715
S091,Latosolic red soil,tropical seasonal forest,111.3666667,21.65,1650,23,8.592672544,0.182173204,4.73,30.83548811,8.950968277,0.290281388,0.46206562,13.53367667,0.478455941,10.81303624,10.35471847,35.70293536,26.15612047,23.01860775,50.82527178,37.96255088,11.61379031,0.476780055,2.649650065,1.25592207
S094,Laterite,tropical seasonal forest,110,21.06666667,1771.6,22,1.223456774,0.283837558,4.583333333,34.38235505,4.631361184,0.134701686,0.384699469,5.993594739,0.562274063,29.38182477,14.6159303,17.52907731,12.49015309,6.680399667,80.82944724,26.52209622,7.925456191,0.472843626,1.663818689,1.782829012
S095,Laterite,tropical seasonal forest,110.0666667,20.78333333,1771.6,22,0.640320436,0.808108925,4.5,33.84283065,2.38247982,0.070398361,0.397822045,9.955241965,0.369781302,35.03542237,9.295143539,14.41219136,8.79124302,14.62526688,76.5834901,17.58841835,2.969682068,0.479244493,0.596752977,2.724773106
S096,Laterite,tropical seasonal forest,110.0333333,20.7,2030,21,0.633263504,0.939869859,4.963333333,50.10180977,11.67292856,0.23298417,0.431710152,16.29067989,0.37885579,68.11289584,8.775697956,35.04988101,2.884048766,16.83894512,80.27700612,11.82866747,1.911604254,0.602577339,0.647425825,5.094211504
S097,Laterite,tropical seasonal forest,110.1166667,20.46666667,1364,23.2,19.27093198,0.726443003,6.243333333,22.12301788,9.368795039,0.423486302,0.942991893,19.89708423,0.954290471,8.384296964,10.11981628,136.1489848,48.00371546,34.41887157,17.57741297,88.50769997,17.56704383,2.118288577,2.918539757,2.393338182
S098,Laterite,tropical seasonal forest,110.2,20.28333333,1364.1,23.3,13.18234523,0.818583372,6.3,25.34278208,8.156489683,0.321846657,1.101871626,31.75511192,0.980680023,19.98834886,8.900129561,44.45874418,44.52741254,41.11410731,14.35848015,87.56825741,15.81862314,2.842165996,3.49330906,3.245657822
S100,Laterite,tropical seasonal forest,109.7064167,19.74288889,1417.8,24,2.66329769,3.317316738,4.39,27.15252429,6.649121247,0.244880409,1.438141272,5.383333333,1.77866139,23.91333333,12.36777934,17.91474545,43.93989141,18.68472018,37.37538841,103.4650339,10.30703585,1.508197172,3.317068907,1.457687796
S101,Laterite,tropical seasonal forest,109.6493333,19.69694444,1417.8,24,0.877345176,5.250559042,4.815,26.41252632,7.492226581,0.283661869,0.751885191,2.556666667,0.801159349,26.54666667,10.65534151,10.0882389,19.77195965,27.03512851,53.19291184,6.754546542,2.56296963,1.093561947,1.763275278,16.19001276
S102,Laterite,tropical seasonal forest,109.7735556,19.55038889,1790.7,24,1.332439022,75.79690729,4.36,24.01468311,12.16747577,0.506668179,1.028986346,8.976666667,1.215089866,51.10333333,11.80861019,90.6447515,19.86115805,20.87448244,59.26435951,13.57155231,4.129661196,1.425053342,1.609115453,10.50029731
S104,Laterite,tropical seasonal forest,109.4900556,19.52233333,1815,25,1.803798126,3.967493815,3.965,29.31073481,12.6516005,0.431637098,1.55655188,17.73666667,1.64166026,51.52666667,10.54677509,100.2462,32.780823,32.5772154,34.6419616,40.33210934,7.799903726,1.376744129,2.378550635,3.413518786
S105,Laterite,tropical seasonal forest,109.491,19.51566667,1815,25,2.211161574,4.359167492,4.85,22.7119265,13.993257,0.616119333,2.432133966,26.70666667,2.267876925,74.05666667,9.324638186,196.9098028,15.94494121,43.74637715,40.30868164,50.43735009,9.03119796,1.5138173,2.435620076,3.001381511
