,S001,S009,S005,S008,S010,S011,S013,S019,S018,S021,S023,S024,S025,S026,S027,S028,S029,S034,S033,S037,S044,S046,S049,S064,S065,S066,S069,S070,S072,S081,S082,S083,S084,S086,S090,S094,S098,S100,S107
dut,2,3,8,9,4,13,4,8,5,5,9,14,9,11,10,10,7,7,3,9,2,10,7,5,16,14,15,23,11,11,15,15,13,13,15,18,14,15,5
fomC,0,0,2,0,0,1,0,0,2,1,1,1,1,0,1,2,1,0,1,0,0,1,0,0,2,2,0,4,2,4,1,3,1,3,0,0,1,3,1
gcd,1,1,5,23,2,18,0,34,39,4,17,8,3,30,24,39,12,18,6,59,10,19,16,21,86,41,52,41,37,108,99,67,100,23,14,4,20,48,47
gdh,3,6,16,12,5,19,3,8,8,4,14,12,8,19,18,20,6,14,14,14,4,18,24,9,43,41,25,53,28,38,34,20,24,29,10,31,27,42,17
glpQ,5,11,17,10,4,22,7,10,9,9,11,24,7,12,17,19,3,7,19,14,8,17,13,18,25,21,20,29,21,22,15,12,15,15,18,32,33,13,12
glpT,1,1,3,3,1,0,1,4,3,0,5,3,1,3,1,6,0,2,2,5,0,7,4,2,13,6,4,4,5,9,8,7,3,2,3,5,6,4,4
gmk,4,4,9,4,4,9,2,6,6,8,12,12,11,10,8,17,9,10,7,11,4,12,9,5,26,19,22,24,20,17,20,24,11,9,14,18,18,15,15
gnd,7,7,30,29,7,28,11,32,17,12,27,15,20,38,23,46,7,24,23,27,10,32,33,17,56,54,47,60,41,52,50,44,29,50,12,46,34,48,19
gnl,2,1,23,16,3,25,2,27,16,12,22,9,6,33,26,22,11,13,14,32,5,9,23,13,68,37,49,59,45,62,56,66,39,29,16,17,16,38,31
gntK,2,8,15,15,2,15,6,7,5,9,10,17,5,13,20,29,4,7,8,21,7,21,24,17,52,65,39,68,26,47,29,34,18,26,20,49,25,47,16
guaA,4,7,35,25,4,33,3,29,23,15,27,30,17,33,29,49,13,26,27,20,7,27,29,19,50,65,37,65,25,51,42,47,32,31,37,35,32,50,21
guaB,2,6,20,18,9,48,3,37,24,12,18,27,23,30,41,70,10,19,21,28,11,19,43,20,65,68,52,55,32,42,46,34,28,31,19,31,38,44,30
htxA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
htxB,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lysR,3,12,10,23,6,9,5,13,13,13,22,25,21,51,9,26,9,8,15,19,15,26,32,24,101,54,77,79,73,81,56,39,49,53,52,45,39,39,20
ndk,4,6,6,10,2,4,4,11,5,5,12,12,4,10,10,13,4,11,9,8,6,11,14,9,20,27,6,22,14,11,15,14,12,11,10,13,15,13,5
nrdA,0,1,1,1,2,6,0,3,3,5,2,9,6,5,9,12,8,8,4,5,3,3,9,5,11,6,8,8,7,7,10,7,3,5,14,6,2,7,4
nrdB,0,0,2,1,0,4,0,2,3,4,0,6,1,2,0,4,1,1,3,0,0,1,0,1,4,4,3,1,2,2,4,5,1,3,8,1,2,3,0
nrdD,2,6,3,2,2,3,2,1,0,1,2,5,4,3,4,1,1,2,2,2,3,5,2,2,6,4,4,1,4,6,2,5,0,4,11,13,7,4,1
nrdE,4,6,4,2,1,0,1,3,2,1,1,6,4,2,0,3,2,2,4,1,2,10,3,10,0,3,0,8,5,4,0,7,2,4,6,10,6,1,0
nrdF,2,3,3,4,2,3,2,1,0,0,2,8,3,5,4,4,2,1,3,3,1,4,3,2,7,3,4,3,4,3,3,1,3,3,7,10,9,2,1
nrdJ,0,1,26,16,0,33,1,17,19,21,18,19,9,20,25,33,14,27,22,31,3,18,29,23,36,29,22,29,25,32,36,42,20,14,17,17,22,30,25
olpA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opd,0,0,6,1,0,2,0,3,0,1,0,0,0,2,0,1,0,0,0,0,0,0,3,0,5,3,4,1,3,5,8,1,1,0,1,1,1,3,1
pafA,0,0,0,1,0,3,0,1,0,1,2,0,2,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0
pbfA,0,2,11,18,5,22,1,20,11,6,20,18,13,30,26,40,5,13,8,16,6,11,23,13,56,35,31,39,24,42,36,43,26,18,21,35,28,38,17
pckA,0,0,10,5,1,11,1,5,2,5,9,4,2,13,5,16,3,9,4,6,1,5,3,4,14,9,7,9,3,6,7,11,7,6,6,8,12,9,6
pckG,0,1,8,11,0,10,3,9,9,10,11,17,5,20,12,23,6,9,7,6,4,6,13,14,18,13,19,18,10,17,20,18,15,12,12,6,10,15,10
pepM,1,2,7,6,2,5,2,6,7,3,9,7,5,5,4,12,5,4,8,10,2,7,7,5,15,17,7,10,7,11,16,11,15,13,2,15,10,12,6
pgtA,0,0,0,0,0,1,0,2,0,0,2,0,1,2,1,1,0,2,0,1,0,2,0,1,3,1,2,2,2,3,1,2,3,3,2,0,0,0,0
pgtB,0,1,2,1,0,2,0,0,1,1,0,3,0,1,2,2,0,0,0,0,0,2,0,0,0,1,3,5,4,3,2,1,2,0,2,1,5,4,1
pgtC,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
pgtP,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,2,2,2,3,2,1,2,3,0,2,1,1,0,0
phnA,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,2,0,1,2,0,1,2,1,6,1,1,3,3,6,1,2,2,4,1,1,2,2,1
phnC,2,3,4,2,1,6,4,4,2,2,4,6,4,5,5,4,3,4,4,3,2,6,3,5,9,7,6,15,6,10,7,6,1,8,7,12,10,9,6
phnD,0,0,0,4,0,1,0,1,0,0,3,0,1,3,2,4,1,0,0,1,0,0,2,0,1,5,5,3,1,1,0,0,1,0,1,0,0,1,4
phnD_phosphite,1,0,1,1,1,0,1,1,1,0,3,1,2,1,1,0,0,1,1,0,1,1,0,1,5,1,3,1,0,2,0,2,2,1,2,2,3,3,2
phnE,4,7,6,2,2,5,5,5,5,7,2,8,6,7,4,4,5,4,4,6,5,9,6,7,8,13,12,6,7,11,5,7,3,11,11,15,10,12,7
phnF,2,2,12,3,1,6,5,3,4,8,8,10,9,4,6,19,2,9,8,9,2,5,9,9,23,12,19,17,18,15,8,5,7,16,9,15,14,11,4
phnG,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
phnH,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
phnI,0,0,0,1,0,1,0,3,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,4,1,1,3,0,2,2,2,0,0,0,1,1,0
phnJ,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,3,0,1,0,2,1,2,2,0,0,0,0,0,1,0
phnK,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,1,0,0,1,0,1,0,0,2,0
phnL,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
phnM,1,0,3,3,0,2,0,2,1,2,4,5,2,8,1,2,2,2,0,1,0,9,2,1,6,3,7,3,2,2,5,4,4,1,9,2,4,2,0
phnN,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,2,0,0,2,2,5,2,2,1,1,0,0,2,1,1,0,0,0
phnO,0,1,1,1,0,2,2,1,1,0,1,3,0,4,1,5,0,0,1,1,0,1,1,1,6,9,8,3,5,0,4,1,0,1,5,8,2,1,2
phnP,0,3,3,2,0,5,1,2,0,3,3,5,3,6,1,7,3,2,5,3,1,2,5,1,14,12,7,7,10,10,5,11,8,2,7,5,3,5,4
phnPP,2,0,7,2,1,14,1,6,3,3,2,5,2,4,9,12,3,5,5,3,1,6,7,5,8,13,8,20,4,11,12,7,2,7,4,17,6,12,2
phnR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
phnS,0,1,0,0,0,2,0,5,3,1,3,1,1,0,0,3,1,1,1,1,0,0,0,3,1,1,1,1,1,0,1,2,0,0,1,0,2,4,8
phnT,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phnU,0,0,0,1,0,2,0,1,0,0,1,0,0,1,1,4,0,2,0,1,0,0,2,2,2,2,1,6,1,3,0,0,2,0,0,0,0,2,3
phnV,0,2,3,0,0,3,0,2,2,1,2,3,2,3,3,2,0,2,0,3,2,5,3,3,2,2,1,2,4,5,2,2,1,1,2,3,6,4,5
phnW,5,7,10,19,0,14,6,12,11,5,15,13,10,24,12,28,12,12,12,24,10,19,21,18,42,39,21,44,23,36,32,23,32,26,18,31,33,29,24
phnX,1,2,3,0,2,1,1,0,1,0,0,2,0,2,0,2,0,2,1,1,1,4,1,3,4,2,7,8,3,6,1,8,1,3,0,3,4,1,0
phnY,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
phnZ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
phny,0,0,4,1,0,3,1,7,1,1,2,2,1,2,1,2,2,0,3,0,2,1,6,0,8,6,4,4,4,5,3,10,8,2,1,2,1,1,4
phoA,0,5,3,4,0,1,2,5,1,2,2,6,3,4,0,6,2,1,0,2,0,4,3,4,2,5,4,3,7,2,1,1,2,1,7,8,6,3,4
phoB,7,45,129,118,20,133,20,147,108,46,147,129,106,204,128,215,64,83,56,204,39,108,147,93,491,343,332,414,274,510,363,288,303,203,174,265,182,319,162
phoC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
phoD,0,1,6,6,3,13,1,11,7,2,7,7,4,16,5,6,3,3,2,10,0,4,13,2,10,8,15,13,3,9,4,5,8,3,5,7,14,10,12
phoH,1,3,9,8,2,9,4,9,12,5,10,9,8,14,10,18,4,7,8,14,5,6,14,5,10,9,16,15,10,20,16,12,6,7,15,6,11,13,12
phoN,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0
phoP,3,16,34,35,9,54,6,39,37,18,47,40,31,64,45,81,19,28,34,58,10,43,50,56,138,118,116,155,83,122,107,94,73,54,54,112,75,127,52
phoR,9,29,87,86,13,122,8,107,54,33,71,81,66,101,94,162,44,65,62,110,28,80,95,83,232,238,178,320,119,199,181,150,107,131,105,233,188,228,103
phoU,1,8,9,5,0,10,0,10,10,2,14,11,5,10,8,18,3,9,6,10,3,8,2,7,21,19,20,23,14,13,34,19,10,6,7,11,13,18,8
phoX,0,0,8,1,1,12,0,3,3,0,2,8,1,1,8,1,4,1,3,1,0,1,0,0,2,2,2,1,0,0,1,0,0,0,4,1,4,0,3
phpC,1,0,7,1,1,4,1,1,3,2,1,3,2,1,6,5,2,3,3,2,1,1,4,3,10,8,3,6,5,8,5,2,8,6,6,5,4,7,1
phy,0,0,3,2,1,12,0,2,2,0,1,0,0,1,6,1,1,0,2,0,0,0,2,0,2,0,2,2,1,0,2,2,0,0,0,0,9,3,4
pit,0,0,8,5,0,4,1,6,3,5,5,7,5,5,6,13,7,4,0,11,0,4,5,4,8,10,11,10,13,15,13,13,6,7,4,5,7,5,5
ppa,2,5,14,9,1,17,3,11,7,7,5,7,5,8,15,10,10,4,6,9,1,5,7,9,17,24,17,40,21,20,19,26,7,16,11,16,16,16,7
ppc,0,1,9,2,0,6,1,2,2,4,10,8,3,5,10,20,2,8,8,10,1,3,4,3,23,21,9,26,19,16,12,11,10,7,16,20,4,12,2
ppd,0,0,1,3,0,1,0,3,3,3,3,1,1,8,4,2,2,0,3,1,2,3,4,2,9,5,2,9,4,4,3,8,3,1,0,2,3,4,4
ppdK,0,2,17,17,1,22,0,16,9,8,18,16,17,19,19,35,6,14,14,14,3,10,24,9,23,34,25,23,20,22,20,37,12,15,6,21,18,31,14
pphA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
ppk,0,2,18,21,3,28,2,25,11,10,28,17,9,20,7,28,5,10,13,21,5,14,22,11,40,31,28,52,27,37,29,44,26,28,23,31,25,43,14
pps,1,1,5,4,2,11,1,2,4,4,3,8,6,9,6,15,8,6,8,10,3,5,7,0,11,16,10,18,8,11,7,10,10,12,12,9,9,12,6
ppx,0,1,9,7,4,13,1,4,7,4,5,16,7,13,6,19,5,6,6,7,2,4,12,3,14,23,11,27,7,10,20,17,7,6,10,8,13,14,7
prsA,5,8,23,26,6,14,9,21,18,17,23,32,24,37,24,46,19,27,14,30,13,32,26,22,55,32,40,51,31,40,26,39,31,31,27,43,33,49,14
pstA,2,4,7,6,3,15,0,5,8,4,4,6,8,10,4,14,5,8,4,11,1,9,10,7,17,17,16,17,18,8,8,18,7,12,9,15,17,14,7
pstB,2,5,8,9,1,8,0,9,8,5,11,11,8,9,6,18,8,8,8,8,2,6,11,5,16,20,17,11,13,15,17,12,5,14,13,19,17,19,11
pstC,1,5,7,9,0,18,1,9,5,3,9,14,3,9,6,19,1,6,2,8,6,8,12,9,14,21,11,24,14,12,14,13,11,13,9,16,13,21,5
pstS,2,10,23,56,5,41,4,59,18,20,49,29,25,48,33,82,10,15,12,63,12,25,54,32,153,112,104,137,74,117,107,78,75,72,18,78,34,89,38
ptsH,1,6,7,4,3,7,4,10,4,3,8,12,11,15,2,10,6,8,6,8,6,7,8,11,16,25,12,12,16,13,12,14,6,9,13,24,10,10,5
ptsI,8,8,27,18,4,19,3,19,10,15,17,27,11,27,22,29,13,22,19,17,9,17,18,11,38,34,22,43,20,19,19,18,17,25,30,35,24,24,10
ptxB,0,3,1,0,1,0,0,0,1,0,1,1,1,3,0,0,1,1,0,1,1,2,1,0,0,1,0,1,1,1,2,0,0,1,3,5,2,4,0
ptxC,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
ptxD,1,1,11,15,2,8,2,7,17,5,4,8,4,17,16,15,7,7,10,15,12,13,18,12,35,28,31,35,26,26,23,30,18,19,9,19,15,36,14
purA,1,1,9,14,3,10,2,7,8,3,9,11,8,15,17,24,6,14,7,13,9,11,13,11,28,21,21,21,16,18,20,24,16,11,8,14,15,23,11
purB,1,1,19,13,3,15,1,21,11,13,15,19,18,21,9,27,9,13,14,17,7,15,22,15,34,35,31,52,22,36,30,39,21,26,22,24,21,20,19
purC,2,6,20,16,5,12,2,12,10,6,24,17,20,23,17,21,12,11,8,15,1,21,13,23,35,31,25,33,23,29,30,22,15,16,14,24,26,19,10
purD,3,6,17,18,4,16,2,16,10,9,17,17,17,23,16,29,15,12,6,17,4,14,16,14,29,36,22,26,15,38,28,30,19,15,13,25,24,36,21
purE,1,3,3,5,1,5,2,9,5,3,5,8,2,3,9,12,4,5,6,6,4,6,5,6,20,11,5,11,8,8,9,19,8,5,9,11,11,17,9
purF,3,5,14,15,1,16,4,19,18,10,12,23,10,17,21,41,12,11,21,21,6,21,18,18,48,40,34,32,26,36,23,35,13,16,19,30,23,36,17
purH,1,3,16,18,2,17,1,10,7,8,10,14,9,20,9,30,8,10,9,21,4,20,14,11,28,26,26,42,15,39,30,23,22,16,17,21,22,31,11
purK,2,4,7,5,2,5,2,5,6,6,3,14,8,8,6,9,5,8,6,1,4,5,11,10,19,14,18,22,14,19,8,12,9,11,9,12,12,10,8
purL,3,4,18,14,3,25,2,21,14,6,21,23,14,32,12,41,13,20,19,15,6,25,19,10,39,41,41,55,29,30,34,26,21,21,31,35,21,40,14
purM,1,4,7,5,5,9,2,15,8,1,11,3,8,12,5,28,4,9,7,13,4,17,12,10,19,20,16,20,12,18,20,19,11,13,15,15,13,23,4
purN,2,8,3,14,4,9,2,17,3,8,12,13,9,12,8,16,7,6,9,27,4,5,14,11,35,20,38,27,20,20,13,20,18,7,11,19,16,22,11
purP,0,0,0,0,0,1,0,1,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,3,0,0,0,0,0,0,1
purQ,1,2,5,10,0,5,3,6,6,2,8,4,6,9,6,14,3,7,5,6,1,7,3,13,8,10,8,13,7,8,15,6,9,6,6,10,14,13,7
purS,1,2,4,5,1,4,1,4,3,2,2,2,4,8,3,11,1,0,2,3,2,0,5,4,10,10,8,9,7,4,4,7,8,2,5,17,7,6,4
purT,0,0,1,2,0,2,0,1,2,1,0,1,0,2,1,3,0,1,1,0,0,0,0,2,3,2,3,0,2,2,1,2,1,2,10,2,2,3,1
pyk,3,8,17,18,3,15,4,13,6,10,17,20,5,19,16,27,9,16,16,13,7,15,17,19,32,25,24,36,23,27,22,29,15,21,26,30,27,35,19
pyrE,2,7,9,5,2,10,2,8,9,2,12,13,6,10,9,13,5,11,8,11,6,15,6,13,26,22,18,27,10,22,15,13,15,12,15,19,17,23,12
pyrF,1,2,5,7,3,7,4,15,6,5,12,6,7,6,10,8,3,7,7,3,3,15,11,11,21,18,12,13,12,18,11,11,7,9,8,15,11,7,6
pyrG,3,8,19,18,1,29,2,22,18,16,24,24,15,26,21,35,12,12,14,27,9,20,33,13,42,38,26,46,19,40,31,29,25,24,22,24,23,38,20
pyrH,4,6,15,7,4,21,5,9,8,11,9,15,10,12,17,16,7,9,9,13,3,13,15,13,29,19,18,26,17,17,14,16,10,17,11,23,20,19,7
rpiA,1,5,13,11,1,11,5,4,7,4,8,13,6,8,13,16,3,6,7,10,4,15,10,10,17,24,10,32,24,23,24,16,14,17,10,32,19,16,11
rtpR,0,1,0,0,2,0,1,0,1,0,1,4,0,1,0,2,0,2,2,0,1,3,4,1,3,3,0,3,3,2,2,3,1,1,1,10,1,3,0
spoT,2,8,25,22,4,33,3,22,15,17,25,30,21,37,21,53,12,19,17,28,5,23,27,25,60,46,41,51,29,47,29,41,20,19,30,32,32,48,16
thyA,4,6,7,12,2,12,2,7,11,11,8,16,8,16,11,27,7,8,7,14,7,13,22,12,31,27,25,30,22,32,24,20,16,20,19,26,19,26,14
tmk,7,8,60,39,19,68,6,51,16,6,54,59,26,33,56,81,11,21,26,43,16,70,65,57,167,194,97,209,42,92,109,73,61,97,23,162,120,199,39
ugpA,8,13,42,24,8,25,9,31,14,14,41,43,14,41,40,56,18,27,44,17,7,65,45,54,79,103,48,69,56,32,32,34,23,45,23,81,76,88,26
ugpB,3,4,21,2,3,10,2,5,6,5,6,18,7,17,7,18,8,7,8,2,5,29,10,21,28,37,24,31,24,17,9,14,4,12,10,33,20,20,7
ugpC,2,7,59,53,3,70,3,44,26,20,51,44,21,45,66,81,26,32,38,29,4,47,54,31,70,82,73,75,49,52,45,60,48,47,28,50,118,61,52
ugpE,9,17,44,15,11,31,9,25,25,22,20,43,17,37,40,53,16,34,28,15,7,64,33,48,69,114,45,95,47,28,19,31,30,55,28,81,64,75,21
ugpQ,2,2,4,0,1,1,4,2,2,3,1,7,1,4,2,3,2,2,3,3,2,2,3,2,0,5,2,3,5,2,3,2,2,1,4,6,4,3,0
ushA,3,7,10,1,1,6,1,2,1,9,2,12,6,7,6,7,4,7,5,5,2,12,3,8,8,9,11,5,9,6,5,7,2,7,16,11,20,2,6
